"SITE_ID","SITE_NAME","DATABASE_NAME","DOMAIN","PRIORITY"
"3316","smithstudentunion","znldhr3316","smithstudentunion.pdx.acsitefactory.com","4"
"3321","heroines","znldhr3321","heroines.pdx.acsitefactory.com","5"
"3331","researchbaseddesign","znldhr3331","researchbaseddesign.pdx.acsitefactory.com","5"
"3361","veteransresourcecenter","znldhr3361","veteransresourcecenter.pdx.acsitefactory.com","4"
"3366","womengendersexualitystudies","znldhr3366","womengendersexualitystudies.pdx.acsitefactory.com","3"
"3381","comicsstudies","znldhr3381","comicsstudies.pdx.acsitefactory.com","3"
"3386","institutionalassessmentcouncil","znldhr3386","institutionalassessmentcouncil.pdx.acsitefactory.com","5"
"3391","learningcenter","znldhr3391","learningcenter.pdx.acsitefactory.com","2"
"3396","diversity","znldhr3396","diversity.pdx.acsitefactory.com","5"
"3411","podrabskylab","znldhr3411","podrabskylab.pdx.acsitefactory.com","5"
"3416","policyconsensuscenter","znldhr3416","policyconsensuscenter.pdx.acsitefactory.com","5"
"3421","planningcontructionrealestate","znldhr3421","planningcontructionrealestate.pdx.acsitefactory.com","5"
"3431","trioprecollege","znldhr3431","trioprecollege.pdx.acsitefactory.com","5"
"3436","tribalgovernment","znldhr3436","tribalgovernment.pdx.acsitefactory.com","5"
"3441","academicinnovation","znldhr3441","academicinnovation.pdx.acsitefactory.com","4"
"3471","educationcareerdevelopment","znldhr3471","educationcareerdevelopment.pdx.acsitefactory.com","5"
"3486","museumofnaturalhistory","znldhr3486","museumofnaturalhistory.pdx.acsitefactory.com","5"
"3491","studentswithchildren","znldhr3491","studentswithchildren.pdx.acsitefactory.com","3"
"3506","studentlegalservices","znldhr3506","studentlegalservices.pdx.acsitefactory.com","4"
"3541","challengeprogram","znldhr3541","challengeprogram.pdx.acsitefactory.com","5"
"3546","chicanolatinostudies","znldhr3546","chicanolatinostudies.pdx.acsitefactory.com","3"
"3551","childlanguagelearningcenter","znldhr3551","childlanguagelearningcenter.pdx.acsitefactory.com","3"
"3561","communityenvironmentalservices","znldhr3561","communityenvironmentalservices.pdx.acsitefactory.com","4"
"3566","conferencesevents","znldhr3566","conferencesevents.pdx.acsitefactory.com","5"
"3576","culturalresourcecenters","znldhr3576","culturalresourcecenters.pdx.acsitefactory.com","4"
"3581","diversitymulticulturalstudents","znldhr3581","diversitymulticulturalstudents.pdx.acsitefactory.com","5"
"3591","english","znldhr3591","english.pdx.acsitefactory.com","3"
"3616","genderracenations","znldhr3616","genderracenations.pdx.acsitefactory.com","3"
"3621","generalcounsel","znldhr3621","generalcounsel.pdx.acsitefactory.com","4"
"3681","blackstudies","znldhr3681","blackstudies.pdx.acsitefactory.com","3"
"3696","civilenvironmentalengineering","znldhr3696","civilenvironmentalengineering.pdx.acsitefactory.com","3"
"3731","geography","znldhr3731","geography.pdx.acsitefactory.com","3"
"3736","globalstudies","znldhr3736","globalstudies.pdx.acsitefactory.com","3"
"3756","indigenousnationsstudies","znldhr3756","indigenousnationsstudies.pdx.acsitefactory.com","5"
"3776","studentcommunityengagement","znldhr3776","studentcommunityengagement.pdx.acsitefactory.com","5"
"3801","centerclimateaerosolresearch","znldhr3801","centerclimateaerosolresearch.pdx.acsitefactory.com","5"
"3811","confuciusinstitute","znldhr3811","confuciusinstitute.pdx.acsitefactory.com","5"
"3831","facilities","znldhr3831","facilities.pdx.acsitefactory.com","3"
"3846","geology","znldhr3846","geology.pdx.acsitefactory.com","3"
"3861","accelerator","znldhr3861","accelerator.pdx.acsitefactory.com","5"
"3866","systemsscience","znldhr3866","systemsscience.pdx.acsitefactory.com","3"
"3891","fellowships","znldhr3891","fellowships.pdx.acsitefactory.com","5"
"3896","currently","znldhr3896","currently.pdx.acsitefactory.com","5"
"3901","psumagazine","znldhr3901","psumagazine.pdx.acsitefactory.com","5"
"3906","microbialecology","znldhr3906","microbialecology.pdx.acsitefactory.com","5"
"3936","fireprevention","znldhr3936","fireprevention.pdx.acsitefactory.com","5"
"3941","landscapeassessmentmapping","znldhr3941","landscapeassessmentmapping.pdx.acsitefactory.com","5"
"3956","allianceminorityparticipation","znldhr3956","allianceminorityparticipation.pdx.acsitefactory.com","5"
"3961","electricalcomputerengineering","znldhr3961","electricalcomputerengineering.pdx.acsitefactory.com","3"
"3966","entrepreneurship","znldhr3966","entrepreneurship.pdx.acsitefactory.com","5"
"3976","campusplanning","znldhr3976","campusplanning.pdx.acsitefactory.com","5"
"3986","webtraining2","znldhr3986","webtraining2.pdx.acsitefactory.com","5"
"3996","earlychildhoodeducationhub","znldhr3996","earlychildhoodeducationhub.pdx.acsitefactory.com","5"
"4001","budget","znldhr4001","budget.pdx.acsitefactory.com","5"
"4006","studentsfirst","znldhr4006","studentsfirst.pdx.acsitefactory.com","5"
"4011","turkishstudiescenter","znldhr4011","turkishstudiescenter.pdx.acsitefactory.com","3"
"4016","womensleadershipcenter","znldhr4016","womensleadershipcenter.pdx.acsitefactory.com","5"
"4021","criminaljusticepolicyresearch","znldhr4021","criminaljusticepolicyresearch.pdx.acsitefactory.com","5"
"4026","hatfieldschool","znldhr4026","hatfieldschool.pdx.acsitefactory.com","2"
"4031","sexualassault","znldhr4031","sexualassault.pdx.acsitefactory.com","2"
"4036","bikehub","znldhr4036","bikehub.pdx.acsitefactory.com","4"
"4041","dreamers","znldhr4041","dreamers.pdx.acsitefactory.com","5"
"4046","emergencymanagement","znldhr4046","emergencymanagement.pdx.acsitefactory.com","3"
"4051","internationalpartnerships","znldhr4051","internationalpartnerships.pdx.acsitefactory.com","5"
"4056","nonprofitinstitute","znldhr4056","nonprofitinstitute.pdx.acsitefactory.com","5"
"4062","nativeamericancenter","znldhr4062","nativeamericancenter.pdx.acsitefactory.com","5"
"4067","kahnprejudiceresearchlab","znldhr4067","kahnprejudiceresearchlab.pdx.acsitefactory.com","5"
"4071","firststopportland","znldhr4071","firststopportland.pdx.acsitefactory.com","5"
"4076","vietnamoregoninitiative","znldhr4076","vietnamoregoninitiative.pdx.acsitefactory.com","5"
"4081","studentgovernment","znldhr4081","studentgovernment.pdx.acsitefactory.com","5"
"4196","healthybuildings","znldhr4196","healthybuildings.pdx.acsitefactory.com","5"
"4211","nanointerfaces","znldhr4211","nanointerfaces.pdx.acsitefactory.com","5"
"4216","retirementassociation","znldhr4216","retirementassociation.pdx.acsitefactory.com","5"
"4221","reserveofficerstrainingcorp","znldhr4221","reserveofficerstrainingcorp.pdx.acsitefactory.com","4"
"4226","herbarium","znldhr4226","herbarium.pdx.acsitefactory.com","5"
"4231","nanodevelopmentlab","znldhr4231","nanodevelopmentlab.pdx.acsitefactory.com","5"
"4236","electronmicroscopy","znldhr4236","electronmicroscopy.pdx.acsitefactory.com","5"
"4241","architectureengineeriningconst","znldhr4241","architectureengineeriningconst.pdx.acsitefactory.com","3"
"4256","transportationlabt","znldhr4256","transportationlabt.pdx.acsitefactory.com","5"
"4261","transportationlab","znldhr4261","transportationlab.pdx.acsitefactory.com","5"
"4276","sustainablefoodsystems","znldhr4276","sustainablefoodsystems.pdx.acsitefactory.com","5"
"4281","materialsmanufacturingresearch","znldhr4281","materialsmanufacturingresearch.pdx.acsitefactory.com","5"
"4286","glaciers","znldhr4286","glaciers.pdx.acsitefactory.com","5"
"4291","centerforlakesandreservoirs","znldhr4291","centerforlakesandreservoirs.pdx.acsitefactory.com","5"
"4296","globalengagement","znldhr4296","globalengagement.pdx.acsitefactory.com","5"
"156","prometcollege","znldhr156","prometcollege.dev-pdx.acsitefactory.com","6"
"186","admissions","znldhr186","admissions.dev-pdx.acsitefactory.com","6"
"726","psuonline","znldhr726","psuonline.dev-pdx.acsitefactory.com","6"
"761","research","znldhr761","research.dev-pdx.acsitefactory.com","6"
"781","ondeck","znldhr781","ondeck.dev-pdx.acsitefactory.com","6"
"806","syndication","znldhr806","syndication.dev-pdx.acsitefactory.com","6"
"771","studenthealthcounseling","znldhr771","studenthealthcounseling.dev-pdx.acsitefactory.com","6"
"156","prometcollege","znldhr156","prometcollege.test-pdx.acsitefactory.com","7"
"186","admissions","znldhr186","admissions.test-pdx.acsitefactory.com","7"
"726","psuonline","znldhr726","psuonline.test-pdx.acsitefactory.com","7"
"761","research","znldhr761","research.test-pdx.acsitefactory.com","7"
"781","ondeck","znldhr781","ondeck.test-pdx.acsitefactory.com","7"
"806","syndication","znldhr806","syndication.test-pdx.acsitefactory.com","7"
